,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,PROJ,TOTAL,rank,DATE
68,Devin Singletary,Hou,RB,12.9,13.5,17,01-09-24
69,Wan'Dale Robinson,NYG,WR,10.4,13.5,30,01-09-24
70,Rachaad White,TB,RB,16.3,13.3,18,01-09-24
71,Donald Parham Jr.,LAC,TE,0,13.3,5,01-09-24
72,De'Von Achane,Mia,RB,18,13.1,20,01-09-24
73,Ezekiel Elliott,NE,RB,13.6,13.1,20,01-09-24
74,Zamir White,LV,RB,15.5,13.1,20,01-09-24
75,Jarrett Stidham,Den,QB,13.3,13.08,20,01-09-24
76,Rico Dowdle,Dal,RB,6.9,13,22,01-09-24
77,Jake Ferguson,Dal,TE,12,12.9,6,01-09-24
78,Brandon Johnson,Den,WR,0.9,12.8,31,01-09-24
79,Bo Melton,GB,WR,5,12.6,32,01-09-24
80,Ryan Tannehill,Ten,QB,13.6,12.42,21,01-09-24
81,Trey McBride,Ari,TE,12.8,12.4,7,01-09-24
82,Jamaal Williams,NO,RB,12.8,12.4,23,01-09-24
83,Austin Ekeler,LAC,RB,13.9,11.9,24,01-09-24
84,Taysom Hill,NO,TE,7.1,11.9,8.5,01-09-24
85,Jonnu Smith,Atl,TE,7.4,11.9,8.5,01-09-24
86,Terry McLaurin,Wsh,WR,12.2,11.6,33,01-09-24
87,Chris Godwin,TB,WR,13.3,11.5,34,01-09-24
88,Trent Sherfield,Buf,WR,1,11.4,35,01-09-24
89,Chuba Hubbard,Car,RB,13.5,11.2,25,01-09-24
90,Isaiah Likely,Bal,TE,5.6,11.1,10,01-09-24
91,Joshua Palmer,LAC,WR,9.6,11,36,01-09-24
92,Ty Chandler,Min,RB,12.6,10.9,26,01-09-24
93,Johnny Mundt,Min,TE,9,10.8,11,01-09-24
94,Zay Jones,Jax,WR,10.5,10.7,37,01-09-24
95,Marcus Mariota,Phi,QB,0,10.52,22,01-09-24
96,Brian Robinson Jr.,Wsh,RB,12.4,10.5,27,01-09-24
97,DJ Moore,Chi,WR,15.8,10.4,38,01-09-24
98,Dawson Knox,Buf,TE,3.9,10.2,12,01-09-24
99,David Montgomery,Det,RB,13.4,10,28,01-09-24
100,Chris Conley,SF,WR,5.9,9.9,39,01-09-24
101,Darren Waller,NYG,TE,9.7,9.5,13,01-09-24
102,Josh Reynolds,Det,WR,7.6,9.4,40,01-09-24
103,Dalton Schultz,Hou,TE,9.6,9.2,14,01-09-24
104,Charlie Jones,Cin,WR,1,9.2,41,01-09-24
105,Kenneth Walker III,Sea,RB,15.8,9.1,29,01-09-24
106,Jahmyr Gibbs,Det,RB,15.7,9,30,01-09-24
107,Nelson Agholor,Bal,WR,6.6,8.9,42,01-09-24
108,Andrew Beck,Hou,RB,1.6,8.9,31,01-09-24
109,Jalen Tolbert,Dal,WR,4.4,8.8,43.5,01-09-24
110,Tyler Johnson,LAR,WR,2.8,8.8,43.5,01-09-24
111,Blaine Gabbert,KC,QB,14.1,8.76,23,01-09-24
112,Justin Fields,Chi,QB,19.2,8.62,24,01-09-24
113,Scott Miller,Atl,WR,0.9,8.6,45,01-09-24
114,Gardner Minshew,Ind,QB,14.1,8.54,25,01-09-24
115,James Cook,Buf,RB,15.3,8.2,32,01-09-24
116,Deonte Harty,Buf,WR,0.1,8.2,46,01-09-24
117,Drake London,Atl,WR,10.7,8.1,47,01-09-24
118,Jaylen Warren,Pit,RB,13.6,8,33.5,01-09-24
119,Zach Charbonnet,Sea,RB,6.9,8,33.5,01-09-24
120,Mason Rudolph,Pit,QB,11.5,7.98,26,01-09-24
121,Austin Hooper,LV,TE,6,7.9,15,01-09-24
122,Josh Downs,Ind,WR,8.1,7.8,48,01-09-24
123,Tua Tagovailoa,Mia,QB,15.8,7.62,27,01-09-24
124,Rondale Moore,Ari,WR,6.7,7.6,49,01-09-24
125,Ronnie Bell,SF,WR,6.3,7.5,50,01-09-24
126,Sam Howell,Wsh,QB,14.4,7.42,28,01-09-24
127,Michael Pittman Jr.,Ind,WR,16.7,7.4,51,01-09-24
128,Cedric Tillman,Cle,WR,7.2,7.3,52,01-09-24
129,Cole Kmet,Chi,TE,10,7.1,16,01-09-24
130,Juwan Johnson,NO,TE,8.5,7,17,01-09-24
131,Kalif Raymond,Det,WR,7.3,7,53,01-09-24
132,Brycen Hopkins,LAR,TE,2.1,6.7,18,01-09-24
133,Antonio Gibson,Wsh,RB,7.8,6.6,35,01-09-24
134,Isaiah Hodgins,NYG,WR,2.1,6.6,54,01-09-24
135,Pierre Strong Jr.,Cle,RB,10.5,6.5,36,01-09-24
136,Davis Allen,LAR,TE,6.1,6.5,19,01-09-24
137,Britain Covey,Phi,WR,0.7,6.5,55,01-09-24
138,Tyler Allgeier,Atl,RB,6.2,6.4,37,01-09-24
139,Chase Brown,Cin,RB,6,6.3,38,01-09-24
140,Kenneth Gainwell,Phi,RB,12.6,6.2,39,01-09-24
141,Baker Mayfield,TB,QB,16.4,6.18,29,01-09-24
142,Khalil Herbert,Chi,RB,12.8,6.1,40,01-09-24
143,Tucker Kraft,GB,TE,6.9,6.1,20,01-09-24
144,Samaje Perine,Den,RB,6.4,6,41,01-09-24
145,Durham Smythe,Mia,TE,5.7,6,21,01-09-24
146,Jalen Reagor,NE,WR,5.2,6,56.5,01-09-24
147,Chris Moore,Ten,WR,6,6,56.5,01-09-24
148,Ja'Marr Chase,Cin,WR,13.7,5.9,58.5,01-09-24
149,Ray-Ray McCloud III,SF,WR,5.4,5.9,58.5,01-09-24
150,Jordan Mason,SF,RB,11.4,5.8,42,01-09-24
151,Mo Alie-Cox,Ind,TE,4.8,5.8,22,01-09-24
152,Chigoziem Okonkwo,Ten,TE,8.1,5.6,23,01-09-24
153,Justice Hill,Bal,RB,6.4,5.6,43,01-09-24
154,Brandon Aiyuk,SF,WR,4.3,5.5,60,01-09-24
155,Garrett Wilson,NYJ,WR,14.3,5.4,62,01-09-24
156,Trenton Irwin,Cin,WR,6.3,5.4,62,01-09-24
157,Sterling Shepard,NYG,WR,0.5,5.4,62,01-09-24
158,Jordan Akins,Cle,TE,6.8,5.4,24,01-09-24
159,Charlie Kolar,Bal,TE,4.9,5.3,25,01-09-24
160,Mike Evans,TB,WR,14.9,5.2,64.5,01-09-24
161,Deebo Samuel,SF,WR,3.9,5.2,64.5,01-09-24
162,Jerome Ford,Cle,RB,6,5.2,44.5,01-09-24
163,Ronnie Rivers,LAR,RB,7.5,5.2,44.5,01-09-24
164,Elijah Higgins,Ari,TE,3.7,5.2,26,01-09-24
165,Josh Oliver,Min,TE,4.5,5.1,27,01-09-24
166,Curtis Samuel,Wsh,WR,9.4,5,66,01-09-24
167,Cade Otton,TB,TE,7,5,28,01-09-24
168,Alex Erickson,LAC,WR,6.6,4.9,67,01-09-24
169,Kyle Pitts,Atl,TE,8.1,4.7,29,01-09-24
170,DJ Chark Jr.,Car,WR,9.5,4.6,68,01-09-24
171,Jeff Wilson Jr.,Mia,RB,8.6,4.5,46,01-09-24
172,Donovan Peoples-Jones,Det,WR,1,4.5,69.5,01-09-24
173,Derius Davis,LAC,WR,3.6,4.5,69.5,01-09-24
174,Jaxon Smith-Njigba,Sea,WR,10.4,4.4,71,01-09-24
175,Quentin Johnston,LAC,WR,7.9,4.3,72.5,01-09-24
176,Tutu Atwell,LAR,WR,6.1,4.3,72.5,01-09-24
177,Ben Skowronek,LAR,WR,6,4.2,74,01-09-24
178,Bryce Young,Car,QB,12.2,4.16,30,01-09-24
179,Pat Freiermuth,Pit,TE,7,4.1,30,01-09-24
180,Olamide Zaccheaus,Phi,WR,4.3,4,75,01-09-24
181,Alexander Mattison,Min,RB,5.2,3.9,47,01-09-24
182,Malik Heath,GB,WR,2.1,3.9,76,01-09-24
183,Eric Gray,NYG,RB,1.9,3.8,48,01-09-24
184,Colby Parkinson,Sea,TE,3.8,3.8,31.5,01-09-24
185,Grant Calcaterra,Phi,TE,0.2,3.8,31.5,01-09-24
186,Jahan Dotson,Wsh,WR,6.6,3.7,77.5,01-09-24
187,Justyn Ross,KC,WR,6.7,3.7,77.5,01-09-24
188,Tyler Conklin,NYJ,TE,7.3,3.6,33,01-09-24
189,Richie James,KC,WR,7.1,3.5,79.5,01-09-24
190,Kyle Philips,Ten,WR,0.4,3.5,79.5,01-09-24
191,Greg Dortch,Ari,WR,9.3,3.4,81.5,01-09-24
192,Cedrick Wilson Jr.,Mia,WR,7.9,3.4,81.5,01-09-24
193,Chase Edmonds,TB,RB,5.2,3.4,49,01-09-24
194,Peyton Hendershot,Dal,TE,2.6,3.4,35,01-09-24
195,James Mitchell,Det,TE,1.1,3.4,35,01-09-24
196,Stone Smartt,LAC,TE,2,3.4,35,01-09-24
197,Kylen Granson,Ind,TE,6.3,3.3,37,01-09-24
198,DeMario Douglas,NE,WR,10.7,3.3,84,01-09-24
199,Van Jefferson,Atl,WR,4.5,3.3,84,01-09-24
200,Julio Jones,Phi,WR,5.6,3.3,84,01-09-24
201,Adam Thielen,Car,WR,12.1,3.2,86,01-09-24
202,Nick Muse,Min,TE,0,3.2,38,01-09-24
203,Tanner Hudson,Cin,TE,6.1,3.1,40,01-09-24
204,Adam Trautman,Den,TE,3,3.1,40,01-09-24
205,Tommy Tremble,Car,TE,5.1,3.1,40,01-09-24
206,Zack Moss,Ind,RB,6.2,3,50,01-09-24
207,Trey Palmer,TB,WR,6.8,3,87,01-09-24
208,Charlie Woerner,SF,TE,2.3,3,42,01-09-24
209,Michael Carter,Ari,RB,3.8,2.9,51,01-09-24
210,Trevor Siemian,NYJ,QB,10.2,2.9,31,01-09-24
211,K.J. Osborn,Min,WR,6.9,2.9,88.5,01-09-24
212,Braxton Berrios,Mia,WR,4.8,2.9,88.5,01-09-24
213,Gus Edwards,Bal,RB,4.2,2.8,52,01-09-24
214,Equanimeous St. Brown,Chi,WR,2.2,2.8,90.5,01-09-24
215,River Cracraft,Mia,WR,0,2.8,90.5,01-09-24
216,Marvin Mims Jr.,Den,WR,4.9,2.7,92,01-09-24
217,Drew Sample,Cin,TE,3.4,2.7,43.5,01-09-24
218,MyCole Pruitt,Atl,TE,1.1,2.7,43.5,01-09-24
219,Laquon Treadwell,Bal,WR,6.2,2.6,93,01-09-24
220,Royce Freeman,LAR,RB,4.4,2.5,53,01-09-24
221,Connor Heyward,Pit,TE,0.8,2.4,45,01-09-24
222,Ty Johnson,Buf,RB,4.9,2.4,54,01-09-24
223,Tyler Scott,Chi,WR,6,2.2,94,01-09-24
224,John FitzPatrick,Atl,TE,0,2.2,46,01-09-24
225,Luke Musgrave,GB,TE,3.9,2.1,47.5,01-09-24
226,Parker Washington,Jax,WR,4.7,2.1,95.5,01-09-24
227,Jack Stoll,Phi,TE,0,2.1,47.5,01-09-24
228,Tylan Wallace,Bal,WR,5.8,2.1,95.5,01-09-24
229,DK Metcalf,Sea,WR,15.7,2,97,01-09-24
230,Clyde Edwards-Helaire,KC,RB,8.3,2,57,01-09-24
231,Roschon Johnson,Chi,RB,8.7,2,57,01-09-24
232,Cordarrelle Patterson,Atl,RB,4.7,2,57,01-09-24
233,Leonard Fournette,Buf,RB,0,2,57,01-09-24
234,Alex Armah,Wsh,RB,0,2,57,01-09-24
235,Logan Thomas,Wsh,TE,7.7,1.9,49,01-09-24
236,Jake Bobo,Sea,WR,1.8,1.9,98,01-09-24
237,Miles Sanders,Car,RB,4.9,1.8,60.5,01-09-24
238,Kevin Harris,NE,RB,6.9,1.8,60.5,01-09-24
239,Jamison Crowder,Wsh,WR,1,1.8,100,01-09-24
240,David Moore,TB,WR,1.6,1.8,100,01-09-24
241,Keelan Doss,LAC,WR,2.8,1.8,100,01-09-24
242,Ameer Abdullah,LV,RB,4.4,1.7,62,01-09-24
243,Tim Jones,Jax,WR,3.8,1.7,102,01-09-24
244,Rashaad Penny,Phi,RB,2.8,1.6,63.5,01-09-24
245,DeVante Parker,NE,WR,6.7,1.6,104,01-09-24
246,Tank Bigsby,Jax,RB,2.6,1.6,63.5,01-09-24
247,Xavier Hutchinson,Hou,WR,7.3,1.6,104,01-09-24
248,Ihmir Smith-Marsette,Car,WR,7.7,1.6,104,01-09-24
249,Kareem Hunt,Cle,RB,5,1.5,65,01-09-24
250,Mike Gesicki,NE,TE,7.2,1.5,51,01-09-24
251,Jalin Hyatt,NYG,WR,5.1,1.5,107,01-09-24
252,John Metchie III,Hou,WR,9.1,1.5,107,01-09-24
253,Terrace Marshall Jr.,Car,WR,4,1.5,107,01-09-24
254,Ian Thomas,Car,TE,0.9,1.5,51,01-09-24
255,Eric Saubert,Hou,TE,0.6,1.5,51,01-09-24
256,Dallas Goedert,Phi,TE,10.7,1.4,53.5,01-09-24
257,Tyler Boyd,Cin,WR,6.4,1.4,110,01-09-24
258,Gerald Everett,LAC,TE,10.4,1.4,53.5,01-09-24
259,Xavier Gipson,NYJ,WR,5.4,1.4,110,01-09-24
260,Randall Cobb,NYJ,WR,1.9,1.4,110,01-09-24
261,Chase Claypool,Mia,WR,1.7,1.3,113,01-09-24
262,Blake Bell,KC,TE,5.3,1.3,56,01-09-24
263,Foster Moreau,NO,TE,2.4,1.3,56,01-09-24
264,DeAndre Carter,LV,WR,0.1,1.3,113,01-09-24
265,Lynn Bowden Jr.,NO,WR,2.3,1.3,113,01-09-24
266,Nick Vannett,LAC,TE,0.5,1.3,56,01-09-24
267,Courtland Sutton,Den,WR,11.9,1.2,115.5,01-09-24
268,Brandon Powell,Min,WR,3.8,1.2,115.5,01-09-24
269,Cooper Rush,Dal,QB,0,1.2,32,01-09-24
270,Julian Hill,Mia,TE,1.2,1.2,58,01-09-24
271,Deven Thompkins,TB,WR,1.6,1.1,117.5,01-09-24
272,Jalen Brooks,Dal,WR,0,1.1,117.5,01-09-24
273,Pharaoh Brown,NE,TE,2.8,1,59,01-09-24
274,Bailey Zappe,NE,QB,10.6,0.82,33,01-09-24
275,Calvin Austin III,Pit,WR,1.6,0.8,119,01-09-24
276,AJ McCarron,Cin,QB,0,0.8,34,01-09-24
277,Jalen Hurts,Phi,QB,20.4,0.6,35,01-09-24
278,Jaleel McLaughlin,Den,RB,9,0.6,67,01-09-24
279,Raheem Blackshear,Car,RB,0.1,0.6,67,01-09-24
280,Israel Abanikanda,NYJ,RB,5.1,0.6,67,01-09-24
281,Tommy DeVito,NYG,QB,0,0.56,36,01-09-24
282,Boston Scott,Phi,RB,5.3,0.5,69,01-09-24
283,KaVontae Turpin,Dal,WR,1.3,0.5,120,01-09-24
284,George Pickens,Pit,WR,11.6,0.3,121,01-09-24
285,Zach Evans,LAR,RB,7.9,0.3,70.5,01-09-24
286,Derrick Gore,Wsh,RB,0,0.3,70.5,01-09-24
287,Dyami Brown,Wsh,WR,0,0.16,122,01-09-24
288,Joshua Kelley,LAC,RB,5.8,0.1,72,01-09-24
289,Clayton Tune,Ari,QB,0,0.1,37,01-09-24
290,Alvin Kamara,NO,RB,0,,,01-09-24
291,Travis Kelce,KC,TE,0,,,01-09-24
292,Raheem Mostert,Mia,RB,0,,,01-09-24
293,Jaylen Waddle,Mia,WR,0,,,01-09-24
294,George Kittle,SF,TE,5.7,,,01-09-24
295,Patrick Mahomes,KC,QB,0,,,01-09-24
296,Cooper Kupp,LAR,WR,0,,,01-09-24
297,D'Andre Swift,Phi,RB,0,,,01-09-24
298,Lamar Jackson,Bal,QB,0,,,01-09-24
299,Christian McCaffrey,SF,RB,0,,,01-09-24
300,DeVonta Smith,Phi,WR,0,,,01-09-24
301,Keenan Allen,LAC,WR,0,,,01-09-24
302,Josh Jacobs,LV,RB,0,,,01-09-24
303,Kyren Williams,LAR,RB,0,,,01-09-24
304,Isiah Pacheco,KC,RB,3.6,,,01-09-24
305,David Njoku,Cle,TE,4.7,,,01-09-24
306,Tee Higgins,Cin,WR,0,,,01-09-24
307,Amari Cooper,Cle,WR,0,,,01-09-24
308,Brock Purdy,SF,QB,0,,,01-09-24
309,Zay Flowers,Bal,WR,0,,,01-09-24
310,Rashee Rice,KC,WR,0,,,01-09-24
311,Christian Watson,GB,WR,0,,,01-09-24
312,Rhamondre Stevenson,NE,RB,0,,,01-09-24
313,T.J. Hockenson,Min,TE,0,,,01-09-24
314,Gabe Davis,Buf,WR,9.3,0,142.5,01-09-24
315,Marquise Brown,Ari,WR,0,,,01-09-24
316,Christian Kirk,Jax,WR,0,,,01-09-24
317,Dameon Pierce,Hou,RB,4.3,0,88.5,01-09-24
318,Matthew Stafford,LAR,QB,0,,,01-09-24
319,Justin Herbert,LAC,QB,0,,,01-09-24
320,AJ Dillon,GB,RB,0,,,01-09-24
321,Russell Wilson,Den,QB,0,,,01-09-24
322,Odell Beckham Jr.,Bal,WR,0,,,01-09-24
323,Mark Andrews,Bal,TE,0,,,01-09-24
324,Romeo Doubs,GB,WR,9.9,0,142.5,01-09-24
325,Noah Brown,Hou,WR,0,,,01-09-24
326,Joe Burrow,Cin,QB,0,,,01-09-24
327,Michael Thomas,NO,WR,0,,,01-09-24
328,Tank Dell,Hou,WR,0,,,01-09-24
329,Tyler Higbee,LAR,TE,0,,,01-09-24
330,Elijah Moore,Cle,WR,7.1,0,142.5,01-09-24
331,Jerick McKinnon,KC,RB,0,,,01-09-24
332,D'Onta Foreman,Chi,RB,0,,,01-09-24
333,Deshaun Watson,Cle,QB,0,,,01-09-24
334,Michael Gallup,Dal,WR,4.4,0,142.5,01-09-24
335,Treylon Burks,Ten,WR,6.5,0,142.5,01-09-24
336,JuJu Smith-Schuster,NE,WR,0,,,01-09-24
337,Kirk Cousins,Min,QB,0,,,01-09-24
338,Skyy Moore,KC,WR,0,,,01-09-24
339,Darnell Mooney,Chi,WR,0,,,01-09-24
340,Nick Chubb,Cle,RB,0,,,01-09-24
341,Cam Akers,Min,RB,0,,,01-09-24
342,Joshua Dobbs,Min,QB,0,,,01-09-24
343,Mike Williams,LAC,WR,0,,,01-09-24
344,Anthony Richardson,Ind,QB,0,,,01-09-24
345,Daniel Jones,NYG,QB,0,,,01-09-24
346,Hunter Henry,NE,TE,0,,,01-09-24
347,Keaton Mitchell,Bal,RB,0,,,01-09-24
348,J.K. Dobbins,Bal,RB,0,,,01-09-24
349,Aaron Rodgers,NYJ,QB,0,,,01-09-24
350,Joe Flacco,Cle,QB,0,,,01-09-24
351,Will Levis,Ten,QB,0,,,01-09-24
352,Latavius Murray,Buf,RB,2.2,,,01-09-24
353,Kenny Pickett,Pit,QB,0,,,01-09-24
354,Demarcus Robinson,LAR,WR,6.8,0,142.5,01-09-24
355,Jonathan Mingo,Car,WR,0,,,01-09-24
356,Jameson Williams,Det,WR,0,,,01-09-24
357,Kadarius Toney,KC,WR,0,,,01-09-24
358,Allen Lazard,NYJ,WR,0,,,01-09-24
359,Robert Woods,Hou,WR,0,,,01-09-24
360,Marquez Valdes-Scantling,KC,WR,5.5,,,01-09-24
361,Kendrick Bourne,NE,WR,0,,,01-09-24
362,Emari Demercado,Ari,RB,4,0,88.5,01-09-24
363,Michael Mayer,LV,TE,0,,,01-09-24
364,Greg Dulcich,Den,TE,0,,,01-09-24
365,Damien Harris,Buf,RB,0,,,01-09-24
366,Rashod Bateman,Bal,WR,4.7,0,142.5,01-09-24
367,Parris Campbell,NYG,WR,0.1,,,01-09-24
368,Zach Wilson,NYJ,QB,0,,,01-09-24
369,Brevin Jordan,Hou,TE,2.3,0,76.5,01-09-24
370,Hunter Renfrow,LV,WR,2.5,0,142.5,01-09-24
371,Jaren Hall,Min,QB,0,,,01-09-24
372,Matt Breida,NYG,RB,1.6,0,88.5,01-09-24
373,Taylor Heinicke,Atl,QB,0,,,01-09-24
374,Alec Pierce,Ind,WR,6.6,0,142.5,01-09-24
375,Tom Brady,TB,QB,0,,,01-09-24
376,Craig Reynolds,Det,RB,0,0,88.5,01-09-24
377,Irv Smith Jr.,Cin,TE,0,,,01-09-24
378,Jimmy Garoppolo,LV,QB,0,0,39.5,01-09-24
379,Hayden Hurst,Car,TE,0,,,01-09-24
380,Mac Jones,NE,QB,0,,,01-09-24
381,Jalen Guyton,LAC,WR,0,,,01-09-24
382,Justin Watson,KC,WR,5.2,0,142.5,01-09-24
383,Noah Fant,Sea,TE,5.3,0,76.5,01-09-24
384,Drew Lock,Sea,QB,0,,,01-09-24
385,Trey Sermon,Ind,RB,0,,,01-09-24
386,Chris Rodriguez Jr.,Wsh,RB,0,,,01-09-24
387,Evan Hull,Ind,RB,0,,,01-09-24
388,Keaontay Ingram,KC,RB,0,,,01-09-24
389,Deuce Vaughn,Dal,RB,0,,,01-09-24
390,Allen Robinson II,Pit,WR,3,0,142.5,01-09-24
391,Noah Gray,KC,TE,8.2,0,76.5,01-09-24
392,Patrick Taylor,GB,RB,5.4,0,88.5,01-09-24
393,Jameis Winston,NO,QB,0,0,39.5,01-09-24
394,Tyquan Thornton,NE,WR,0,,,01-09-24
395,Salvon Ahmed,Mia,RB,0,,,01-09-24
396,C.J. Beathard,Jax,QB,0,,,01-09-24
397,Jelani Woods,Ind,TE,0,,,01-09-24
398,Jacoby Brissett,Wsh,QB,0,,,01-09-24
399,Tyson Bagent,Chi,QB,0,,,01-09-24
400,Jauan Jennings,SF,WR,0,,,01-09-24
401,Daniel Bellinger,NYG,TE,4,0,76.5,01-09-24
402,Mitch Trubisky,Pit,QB,0,,,01-09-24
403,Dorian Thompson-Robinson,Cle,QB,0,,,01-09-24
404,DeeJay Dallas,Sea,RB,0.1,0,88.5,01-09-24
405,Kene Nwangwu,Min,RB,0,0,88.5,01-09-24
406,Jamal Agnew,Jax,WR,0,,,01-09-24
407,Ben Roethlisberger,Pit,QB,0,,,01-09-24
408,Isaiah Spiller,LAC,RB,0,,,01-09-24
409,Nick Westbrook-Ikhine,Ten,WR,0,,,01-09-24
410,Mack Hollins,Atl,WR,0,0,142.5,01-09-24
411,Kyle Juszczyk,SF,RB,2.2,0,88.5,01-09-24
412,Case Keenum,Hou,QB,0,,,01-09-24
413,Trey Lance,Dal,QB,0,,,01-09-24
414,Luke Schoonmaker,Dal,TE,1.3,0,76.5,01-09-24
415,Zonovan Knight,Det,RB,0,,,01-09-24
416,Darnell Washington,Pit,TE,0.4,0,76.5,01-09-24
417,Harrison Bryant,Cle,TE,5.2,0,76.5,01-09-24
418,Gary Brightwell,NYG,RB,0,,,01-09-24
419,Tony Jones Jr.,Ari,RB,0,,,01-09-24
420,Le'Veon Bell,TB,RB,0,,,01-09-24
421,Hendon Hooker,Det,QB,0,,,01-09-24
422,Jimmy Graham,NO,TE,1.3,0,76.5,01-09-24
423,Cam Newton,Car,QB,0,,,01-09-24
424,Jeremy Ruckert,NYJ,TE,0,,,01-09-24
425,Chris Evans,Cin,RB,0,,,01-09-24
426,Sean Tucker,TB,RB,0,,,01-09-24
427,Robert Tonyan,Chi,TE,1.5,0,76.5,01-09-24
428,Brian Hoyer,LV,QB,0,,,01-09-24
429,Kenyan Drake,FA,RB,,,,01-09-24
430,Dare Ogunbowale,Hou,RB,2.8,0,88.5,01-09-24
431,Kyle Trask,TB,QB,0,,,01-09-24
432,Isaiah McKenzie,Ind,WR,0,,,01-09-24
433,Alec Ingold,Mia,RB,2.6,0,88.5,01-09-24
434,Stetson Bennett,LAR,QB,0,,,01-09-24
435,Mike White,Mia,QB,0,,,01-09-24
