,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,PROJ,TOTAL,rank,DATE
148,Tank Bigsby,Jax,RB,4.6,7,34.5,09-26-23
149,Roschon Johnson,Chi,RB,8.3,6.9,36,09-26-23
150,Allen Lazard,NYJ,WR,8.6,6.9,67.5,09-26-23
151,Jamal Agnew,Jax,WR,6.8,6.9,67.5,09-26-23
152,DeVonta Smith,Phi,WR,15.2,6.8,69,09-26-23
153,Colby Parkinson,Sea,TE,5,6.8,22,09-26-23
154,Chris Brooks,Mia,RB,1.1,6.6,37,09-26-23
155,Mike White,Mia,QB,0,6.58,28,09-26-23
156,Devin Singletary,Hou,RB,5.7,6.5,38.5,09-26-23
157,Najee Harris,Pit,RB,12.7,6.5,38.5,09-26-23
158,Robert Woods,Hou,WR,10.8,6.4,70.5,09-26-23
159,Allen Robinson II,Pit,WR,8.2,6.4,70.5,09-26-23
160,Zach Wilson,NYJ,QB,13.4,6.38,29,09-26-23
161,Desmond Ridder,Atl,QB,14.3,6.34,30,09-26-23
162,Darius Slayton,NYG,WR,7,6.2,72,09-26-23
163,Chris Moore,Ten,WR,1.5,6.1,73.5,09-26-23
164,Wan'Dale Robinson,NYG,WR,2.9,6.1,73.5,09-26-23
165,Nick Bawden,NYJ,RB,0,6.1,40,09-26-23
166,Van Jefferson,LAR,WR,9.2,6,75.5,09-26-23
167,David Njoku,Cle,TE,8.4,6,23,09-26-23
168,Rashid Shaheed,NO,WR,9.7,6,75.5,09-26-23
169,Andrew Beck,Hou,RB,0.8,6,41,09-26-23
170,Dalvin Cook,NYJ,RB,10.1,5.9,42.5,09-26-23
171,Patrick Taylor,GB,RB,3.4,5.9,42.5,09-26-23
172,Kenneth Gainwell,Phi,RB,10.4,5.8,44,09-26-23
173,Tyler Conklin,NYJ,TE,6.2,5.6,24,09-26-23
174,Gary Brightwell,NYG,RB,5.6,5.6,45,09-26-23
175,Zach Charbonnet,Sea,RB,4.5,5.5,46.5,09-26-23
176,Kareem Hunt,Cle,RB,4.5,5.5,46.5,09-26-23
177,Nico Collins,Hou,WR,12.6,5.4,77,09-26-23
178,Braxton Berrios,Mia,WR,8.5,5.3,78,09-26-23
179,Gus Edwards,Bal,RB,12.9,5.1,48,09-26-23
180,Drake London,Atl,WR,11,5.1,80,09-26-23
181,Jonathan Mingo,Car,WR,8.1,5.1,80,09-26-23
182,Jauan Jennings,SF,WR,7.8,5.1,80,09-26-23
183,Darren Waller,NYG,TE,11.1,5,25.5,09-26-23
184,Tanner Hudson,Cin,TE,0,5,25.5,09-26-23
185,Tyler Allgeier,Atl,RB,11.6,4.9,49.5,09-26-23
186,Tyjae Spears,Ten,RB,5.5,4.9,49.5,09-26-23
187,Marquez Valdes-Scantling,KC,WR,7.1,4.7,82,09-26-23
188,Samaje Perine,Den,RB,10,4.4,51.5,09-26-23
189,Kendre Miller,NO,RB,7.9,4.4,51.5,09-26-23
190,Cole Kmet,Chi,TE,9.2,4.2,27,09-26-23
191,Ryan Tannehill,Ten,QB,13.3,4.16,31,09-26-23
192,Tee Higgins,Cin,WR,14.6,4.1,83.5,09-26-23
193,Jahan Dotson,Wsh,WR,11.1,4.1,83.5,09-26-23
194,Ty Chandler,Min,RB,6.5,4.1,53,09-26-23
195,Jameis Winston,NO,QB,0,4.04,32,09-26-23
196,Daniel Jones,NYG,QB,15.8,3.98,33,09-26-23
197,DeVante Parker,NE,WR,9.9,3.9,85,09-26-23
198,Trent Sherfield,Buf,WR,2.1,3.8,86,09-26-23
199,Breece Hall,NYJ,RB,10.7,3.7,54,09-26-23
200,Brandin Cooks,Dal,WR,9.2,3.7,87.5,09-26-23
201,Hunter Henry,NE,TE,8.3,3.7,28.5,09-26-23
202,Chigoziem Okonkwo,Ten,TE,7.4,3.7,28.5,09-26-23
203,Hunter Renfrow,LV,WR,3.5,3.7,87.5,09-26-23
204,Ameer Abdullah,LV,RB,3.8,3.6,55,09-26-23
205,Khalil Herbert,Chi,RB,10.4,3.5,56,09-26-23
206,Antonio Gibson,Wsh,RB,6.3,3.4,57,09-26-23
207,AJ Dillon,GB,RB,14,3.3,58,09-26-23
208,Mack Hollins,Atl,WR,7.2,3.3,90,09-26-23
209,John Metchie III,Hou,WR,1,3.3,90,09-26-23
210,Deonte Harty,Buf,WR,3.2,3.3,90,09-26-23
211,Juwan Johnson,NO,TE,7,3.2,30.5,09-26-23
212,Brandon Johnson,Den,WR,3.8,3.2,92,09-26-23
213,D'Ernest Johnson,Jax,RB,2,3.2,59,09-26-23
214,John Bates,Wsh,TE,6.1,3.2,30.5,09-26-23
215,Taysom Hill,NO,TE,7.5,3.1,32,09-26-23
216,Keaontay Ingram,Ari,RB,2.4,3.1,61.5,09-26-23
217,Kenyan Drake,Bal,RB,2,3.1,61.5,09-26-23
218,Trey Sermon,Ind,RB,2,3.1,61.5,09-26-23
219,Hunter Luepke,Dal,RB,0,3.1,61.5,09-26-23
220,Tim Jones,Jax,WR,0,3.1,93,09-26-23
221,Quentin Johnston,LAC,WR,4.4,3,94.5,09-26-23
222,Isaiah Likely,Bal,TE,2.9,3,33.5,09-26-23
223,Demario Douglas,NE,WR,3.8,3,94.5,09-26-23
224,Mitchell Wilcox,Cin,TE,2.7,3,33.5,09-26-23
225,Kylen Granson,Ind,TE,7.4,2.9,35,09-26-23
226,Mike Gesicki,NE,TE,5.1,2.8,36,09-26-23
227,Joshua Kelley,LAC,RB,14.2,2.7,64.5,09-26-23
228,Pierre Strong Jr.,Cle,RB,3.3,2.7,64.5,09-26-23
229,Brenton Strange,Jax,TE,0.3,2.7,37,09-26-23
230,Zach Ertz,Ari,TE,9.2,2.6,38.5,09-26-23
231,Cade Otton,TB,TE,7.6,2.6,38.5,09-26-23
232,Deven Thompkins,TB,WR,3.3,2.6,96.5,09-26-23
233,DeAndre Carter,LV,WR,1.3,2.6,96.5,09-26-23
234,Chase Claypool,Mia,WR,5.7,2.5,98.5,09-26-23
235,Durham Smythe,Mia,TE,7.1,2.5,40.5,09-26-23
236,Tommy Tremble,Car,TE,0.4,2.5,40.5,09-26-23
237,KhaDarel Hodge,Atl,WR,0.4,2.5,98.5,09-26-23
238,Chuba Hubbard,Car,RB,8.7,2.4,66,09-26-23
239,Dalton Kincaid,Buf,TE,7.8,2.3,42,09-26-23
240,River Cracraft,Mia,WR,7.2,2.3,100,09-26-23
241,Randall Cobb,NYJ,WR,3.7,2.2,101,09-26-23
242,Emanuel Wilson,GB,RB,3.6,2.2,67,09-26-23
243,Dawson Knox,Buf,TE,7.5,2.1,44.5,09-26-23
244,Hayden Hurst,Car,TE,7.8,2.1,44.5,09-26-23
245,Drew Ogletree,Ind,TE,3.5,2.1,44.5,09-26-23
246,Nate Adkins,Den,TE,0,2.1,44.5,09-26-23
247,Derrick Henry,Ten,RB,16.8,2,68,09-26-23
248,Jaxon Smith-Njigba,Sea,WR,8.8,2,102.5,09-26-23
249,Michael Mayer,LV,TE,3,2,47.5,09-26-23
